"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"US000","0","10","10","0","2015","A","",9522775,139491699,7384947804324,1537229371302,41219095013,1018,52942,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",161421,1.7,2878090,2.1,367972514323,5.2,52991093171,3.6,-2503429101,-5.7,30,3.0,1578,3.1
"US000","1","10","11","0","2015","A","",60797,2756434,214727318266,0,0,1498,77900,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-217,-0.4,26831,1.0,7830450785,3.8,0,0.0,0,0.0,40,2.7,2103,2.8
"US000","1","101","12","0","2015","A","",121,48429,3744531693,0,0,1487,77320,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,2594,5.7,202483343,5.7,0,0.0,0,0.0,1,0.1,41,0.1
"US000","1","1011","13","0","2015","A","",76,3171,207095136,0,0,1256,65314,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-2.6,22,0.7,7075041,3.5,0,0.0,0,0.0,34,2.8,1787,2.8
"US000","1","1012","13","0","2015","A","",2,4,431267,0,0,2073,107817,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-33.3,-1,-20.0,-50156,-10.4,0,0.0,0,0.0,337,19.4,17550,19.4
"US000","1","1013","13","0","2015","A","",43,45254,3537005290,0,0,1503,78159,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,7.5,2573,6.0,195458458,5.8,0,0.0,0,0.0,-3,-0.2,-133,-0.2
"US000","1","102","12","0","2015","A","",60676,2708005,210982786573,0,0,1498,77911,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-217,-0.4,24236,0.9,7627967442,3.8,0,0.0,0,0.0,41,2.8,2139,2.8
"US000","1","1021","13","0","2015","A","",30243,669009,41366831691,0,0,1189,61833,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-38,-0.1,2455,0.4,2234865897,5.7,0,0.0,0,0.0,60,5.3,3125,5.3
"US000","1","1022","13","0","2015","A","",127,6633,491749241,0,0,1426,74141,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-1.6,50,0.8,10150377,2.1,0,0.0,0,0.0,19,1.4,979,1.3
"US000","1","1023","13","0","2015","A","",802,13582,1471738484,0,0,2084,108363,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",5,0.6,-134,-1.0,3581155,0.2,0,0.0,0,0.0,26,1.3,1321,1.2
"US000","1","1024","13","0","2015","A","",1478,64195,5428443969,0,0,1626,84562,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-37,-2.4,-1121,-1.7,-4743886,-0.1,0,0.0,0,0.0,26,1.6,1379,1.7
"US000","1","1025","13","0","2015","A","",1324,393098,29209968588,0,0,1429,74307,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",84,6.8,15356,4.1,1968938032,7.2,0,0.0,0,0.0,42,3.0,2191,3.0
"US000","1","1026","13","0","2015","A","",1587,51414,2286469276,0,0,855,44472,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,0.2,-1323,-2.5,26976722,1.2,0,0.0,0,0.0,31,3.8,1627,3.8
